СЛОВО;ПЕРЕВОД
without;без
safe;безопасный, -ая
worry (about);беспокоиться (о)
ticket;билет
near;близко
brother;брат
it hurts;болит
pain;боль
ill;больной, -ая
more;больше
big;большой, -ая
afraid (of);бояться
I’m afraid that;боюсь, что
will;буду
paper;бумага
would;бы
quickly;быстро
fast;быстрый, -ая
be;быть
in;в (внутри)
into;в (внутрь)
important;важный, -ая
everywhere;везде
great;великий, -ая
believe;верить
true;верный, -ая
probably;вероятно
top (on the top of);верх (сверху)
have fun;веселиться
cheerful;веселый, -ая
evening;вечер
thing;вещь
take;взять
see;видеть
down;вниз
at the bottom;внизу
during;во время
water;вода
air;воздух
perhaps;возможно
possible;возможный, -ая
question;вопрос
damage;вред
time;время
all the;весь, вся
"all; everybody";все
everything;всё
always;всегда
remember;вспомнить
meet;встретить
yesterday;вчера
high;высокий, -ая (что-либо)
tall;высокий, -ая (кто-либо)
upstairs;выше (по лестнице)
newspaper;газета
where?;где?
eye;глаз
stupid;глупый, -ая
speak (talk);говорить
year;год
head;голова
hungry;голодный, -ая
voice;голос
city (town);город
ready;готов, -а
dirty;грязный, -ая
yes;да
lady;дама
give;дать
girl;девочка
do;делать
day;день
money;деньги
hold;держать
cheap;дешевый, -ая
long;длинный,-ая
for;для
before;до (перед)
until;до (вплоть до)
kind;добрый, -ая
"satisfied (with); pleased";доволен, довольна
"quite; fairly";довольно (вполне)
must;должен, должна
home;"дом (жилище); домой"
house;дом (строение)
(I am) at home;(я –) дома
road;дорога
dear;дорогой, -ая
(Dear Maria);(Дорогая Мария)
expensive;дорогой, -ая (по цене)
enough;достаточно
daughter;дочь
friend;друг (подруга)
other;другой, -ая
think (about);думать (о)
food;еда
if;если
eat;есть (кушать)
go;ехать
still;еще
hot;жаркий, -ая
wait (for);ждать
wife;жена
married (to);женат (на) / замужем (за)
woman;женщина
life;жизнь
live;жить (существовать)
live;жить (проживать)
behind;за (сзади)
forget;забыть
tomorrow;завтра
shut (close);закрыть
sound;звук
here;здесь
earth;земля
know;знать
so;значит (итак)
mean;значить
and;и
play;играть
"go; walk";идти
from;из
because of;из-за
famous;известный, -ая
change;изменить
learn;изучить
or;или
have;иметь
name;имя
otherwise;иначе
sometimes;иногда
foreign;иностранный, -ая
interesting;интересный, -ая
look (for);искать
use;использовать
to;к
unfortunately;к сожалению
every;каждый, -ая
how;как
any, some;какой(-ая)-нибудь
pencil;карандаш
picture;картина
flat (Англия), apartment (США);квартира
key;ключ
book;книга
"when; when?";"когда; когда?"
room;комната
of course;конечно
finish;кончить
short;короткий, -ая
